Index,X,Y,Z,Target_X,Target_Y,Target_Z
216,-0.306583,-0.017082,0.677689,-0.3044,-0.0149,0.6996
217,-0.306558,-0.0170574,0.677935,-0.3044,-0.0149,0.6996
218,-0.306534,-0.0170333,0.678177,-0.3044,-0.0149,0.6996
219,-0.306511,-0.0170096,0.678415,-0.3044,-0.0149,0.6996
220,-0.306488,-0.0169863,0.678649,-0.3044,-0.0149,0.6996
221,-0.306465,-0.0169634,0.678879,-0.3044,-0.0149,0.6996
222,-0.306442,-0.0169409,0.679105,-0.3044,-0.0149,0.6996
223,-0.30642,-0.0169186,0.679328,-0.3044,-0.0149,0.6996
224,-0.306399,-0.0168967,0.679549,-0.3044,-0.0149,0.6996
225,-0.306377,-0.016875,0.679767,-0.3044,-0.0149,0.6996
226,-0.306356,-0.0168536,0.679981,-0.3044,-0.0149,0.6996
227,-0.306335,-0.0168325,0.680193,-0.3044,-0.0149,0.6996
228,-0.306314,-0.0168117,0.680402,-0.3044,-0.0149,0.6996
229,-0.306294,-0.0167912,0.680608,-0.3044,-0.0149,0.6996
230,-0.306274,-0.0167709,0.680812,-0.3044,-0.0149,0.6996
231,-0.306254,-0.0167509,0.681012,-0.3044,-0.0149,0.6996
232,-0.306234,-0.0167312,0.68121,-0.3044,-0.0149,0.6996
233,-0.306215,-0.0167117,0.681406,-0.3044,-0.0149,0.6996
234,-0.306196,-0.0166924,0.6816,-0.3044,-0.0149,0.6996
235,-0.306177,-0.0166733,0.681792,-0.3044,-0.0149,0.6996
236,-0.306158,-0.0166543,0.681982,-0.3044,-0.0149,0.6996
237,-0.30614,-0.0166356,0.68217,-0.3044,-0.0149,0.6996
238,-0.306121,-0.0166171,0.682356,-0.3044,-0.0149,0.6996
239,-0.306103,-0.0165987,0.68254,-0.3044,-0.0149,0.6996
240,-0.306085,-0.0165806,0.682722,-0.3044,-0.0149,0.6996
241,-0.306067,-0.0165627,0.682902,-0.3044,-0.0149,0.6996
242,-0.306049,-0.0165449,0.683081,-0.3044,-0.0149,0.6996
243,-0.306032,-0.0165272,0.683258,-0.3044,-0.0149,0.6996
244,-0.306015,-0.0165097,0.683434,-0.3044,-0.0149,0.6996
245,-0.305997,-0.0164924,0.683608,-0.3044,-0.0149,0.6996
246,-0.30598,-0.0164751,0.683781,-0.3044,-0.0149,0.6996
247,-0.305963,-0.016458,0.683953,-0.3044,-0.0149,0.6996
248,-0.305946,-0.0164411,0.684123,-0.3044,-0.0149,0.6996
249,-0.30593,-0.0164243,0.684292,-0.3044,-0.0149,0.6996
250,-0.305913,-0.0164076,0.684459,-0.3044,-0.0149,0.6996
251,-0.305897,-0.016391,0.684625,-0.3044,-0.0149,0.6996
252,-0.30588,-0.0163746,0.68479,-0.3044,-0.0149,0.6996
253,-0.305864,-0.0163582,0.684955,-0.3044,-0.0149,0.6996
254,-0.305848,-0.016342,0.685118,-0.3044,-0.0149,0.6996
255,-0.305832,-0.0163258,0.68528,-0.3044,-0.0149,0.6996
256,-0.305816,-0.0163098,0.685441,-0.3044,-0.0149,0.6996
257,-0.3058,-0.0162938,0.685602,-0.3044,-0.0149,0.6996
258,-0.305784,-0.0162779,0.685761,-0.3044,-0.0149,0.6996
259,-0.305769,-0.0162621,0.685919,-0.3044,-0.0149,0.6996
260,-0.305753,-0.0162465,0.686077,-0.3044,-0.0149,0.6996
261,-0.305737,-0.0162309,0.686234,-0.3044,-0.0149,0.6996
262,-0.305722,-0.0162153,0.686389,-0.3044,-0.0149,0.6996
263,-0.305707,-0.0161999,0.686544,-0.3044,-0.0149,0.6996
264,-0.305691,-0.0161845,0.686699,-0.3044,-0.0149,0.6996
265,-0.305676,-0.0161692,0.686853,-0.3044,-0.0149,0.6996
266,-0.305661,-0.0161539,0.687006,-0.3044,-0.0149,0.6996
267,-0.305646,-0.0161387,0.687159,-0.3044,-0.0149,0.6996
268,-0.305631,-0.0161236,0.68731,-0.3044,-0.0149,0.6996
269,-0.305616,-0.0161085,0.687462,-0.3044,-0.0149,0.6996
270,-0.305601,-0.0160935,0.687612,-0.3044,-0.0149,0.6996
271,-0.305586,-0.0160786,0.687762,-0.3044,-0.0149,0.6996
272,-0.305571,-0.0160637,0.687912,-0.3044,-0.0149,0.6996
273,-0.305556,-0.0160489,0.688061,-0.3044,-0.0149,0.6996
274,-0.305542,-0.0160341,0.688209,-0.3044,-0.0149,0.6996
275,-0.305527,-0.0160193,0.688357,-0.3044,-0.0149,0.6996
276,-0.305512,-0.0160046,0.688505,-0.3044,-0.0149,0.6996
277,-0.305498,-0.01599,0.688652,-0.3044,-0.0149,0.6996
278,-0.305483,-0.0159754,0.688799,-0.3044,-0.0149,0.6996
279,-0.305469,-0.0159608,0.688945,-0.3044,-0.0149,0.6996
280,-0.305454,-0.0159463,0.689091,-0.3044,-0.0149,0.6996
281,-0.30544,-0.0159318,0.689237,-0.3044,-0.0149,0.6996
282,-0.305425,-0.0159173,0.689382,-0.3044,-0.0149,0.6996
283,-0.305411,-0.0159029,0.689526,-0.3044,-0.0149,0.6996
284,-0.305397,-0.0158885,0.689671,-0.3044,-0.0149,0.6996
285,-0.305382,-0.0158742,0.689815,-0.3044,-0.0149,0.6996
286,-0.305368,-0.0158599,0.689959,-0.3044,-0.0149,0.6996
287,-0.305354,-0.0158456,0.690102,-0.3044,-0.0149,0.6996
288,-0.30534,-0.0158313,0.690245,-0.3044,-0.0149,0.6996
289,-0.305325,-0.0158171,0.690388,-0.3044,-0.0149,0.6996
290,-0.305311,-0.0158029,0.690531,-0.3044,-0.0149,0.6996
291,-0.305297,-0.0157887,0.690673,-0.3044,-0.0149,0.6996
292,-0.305283,-0.0157746,0.690815,-0.3044,-0.0149,0.6996
293,-0.305269,-0.0157605,0.690957,-0.3044,-0.0149,0.6996
294,-0.305255,-0.0157464,0.691099,-0.3044,-0.0149,0.6996
295,-0.305241,-0.0157323,0.69124,-0.3044,-0.0149,0.6996
